iter	Logloss
150	0.3804542263
151	0.3802570941
152	0.3798383866
153	0.3795243197
154	0.379370048
155	0.3792536287
156	0.3790234091
157	0.3789651394
158	0.3787972301
159	0.3786637729
160	0.3785757454
161	0.3783674985
162	0.3781638775
163	0.3780602979
164	0.3778075971
165	0.3776818354
166	0.3774470055
167	0.3773170113
168	0.3769298426
169	0.376838219
170	0.3767992845
171	0.3766158606
172	0.3763014608
173	0.3761112415
174	0.37605013
175	0.3759822046
176	0.3758656015
177	0.3757052181
178	0.375619497
179	0.375317402
180	0.3751910641
181	0.3750207829
182	0.3747862922
183	0.3744523998
184	0.3743235649
185	0.3740892902
186	0.3737924898
187	0.3736003282
188	0.3733837908
189	0.3730725945
190	0.3725817501
191	0.3725530692
192	0.3723656209
193	0.3722979481
194	0.3720863553
195	0.371984602
196	0.371876174
197	0.3717247496
198	0.3715203393
199	0.3713102061
200	0.3712022028
201	0.3708250667
202	0.3707206609
203	0.3704617865
204	0.3701577967
205	0.3699957914
206	0.3698407892
207	0.3697075974
208	0.3694431991
209	0.3692933478
210	0.3689833244
211	0.3688486413
212	0.3686303415
213	0.368456318
214	0.3681893671
215	0.3680044023
216	0.3678114688
217	0.3675709221
218	0.367403492
219	0.3672683557
220	0.3670935041
221	0.3669885123
222	0.3667948753
223	0.3665997198
224	0.3664034756
225	0.3663491899
226	0.3662068814
227	0.3660488819
228	0.3658641749
229	0.3657377928
230	0.3655467222
231	0.365241084
232	0.3649582173
233	0.3648323123
234	0.3646909851
235	0.3644549134
236	0.3642315898
237	0.3641039603
238	0.3639890799
239	0.3637976469
240	0.3635478329
241	0.3633764399
242	0.363306095
243	0.3630298212
244	0.3628323207
245	0.3626679646
246	0.362475856
247	0.3623207788
248	0.3620579017
249	0.3618704568
250	0.3617593582
251	0.3615282669
252	0.3614344787
253	0.3613572813
254	0.3611901784
255	0.3608712805
256	0.3606631904
257	0.3605201869
258	0.3603977515
259	0.3601803069
260	0.3598552692
261	0.3597596017
262	0.3596116986
263	0.3594208249
264	0.3593511059
265	0.3591123429
266	0.3589181456
267	0.3587067211
268	0.358496495
269	0.3583649744
270	0.3581912202
271	0.3580448161
272	0.3579793417
273	0.3578121755
274	0.3576953696
275	0.3575419327
276	0.3574345616
277	0.3572419104
278	0.357074065
279	0.3569837217
280	0.3569696886
281	0.356880181
282	0.3566944471
283	0.3566402337
284	0.3565822344
285	0.3564740246
286	0.3563088954
287	0.3561353295
288	0.3560025054
289	0.3558841296
290	0.3557892641
291	0.3556599453
292	0.3555121833
293	0.3553553086
294	0.3551444178
295	0.3550642028
296	0.3549424877
297	0.354868448
298	0.3548137691
299	0.3547340447
300	0.354617464
301	0.3544997995
302	0.35441793
303	0.3542891426
304	0.3541984195
305	0.3540690384
306	0.3539397607
307	0.3538447948
308	0.3538035641
309	0.3535862787
310	0.3534876783
311	0.3533161568
312	0.3531365544
313	0.3529411677
314	0.3528296992
315	0.3526875412
316	0.3525359865
317	0.3524819827
318	0.3522423865
319	0.3520304773
320	0.3518063699
321	0.3517098256
322	0.3516167161
323	0.3514915836
324	0.351430442
325	0.3513080388
326	0.3511419676
327	0.3510654208
328	0.3509794565
329	0.3508452642
330	0.3508292052
331	0.3506811996
332	0.3505716285
333	0.350475961
334	0.3503385638
335	0.3502162572
336	0.3501330539
337	0.3500729433
338	0.3500022319
339	0.3499179889
340	0.3497692211
341	0.349682986
342	0.3495456538
343	0.3494597087
344	0.3493422837
345	0.3492888584
346	0.3491982134
347	0.3490605151
348	0.3488291098
349	0.3487424478
350	0.3485290163
351	0.348446779
352	0.3483910074
353	0.3482716555
354	0.3482073973
355	0.3481165036
356	0.3480606546
357	0.3478327467
358	0.3476903648
359	0.3476537412
360	0.3474410069
361	0.3473105477
362	0.3472130683
363	0.3470794842
364	0.3470264723
365	0.3468968241
366	0.3468092199
367	0.3467198312
368	0.3466272354
369	0.3465090563
370	0.3463929824
371	0.3463339556
372	0.3461676953
373	0.3461402342
374	0.3460042553
375	0.3458774531
376	0.3457297572
377	0.3456862788
378	0.3455424517
379	0.345468341
380	0.3453931166
381	0.3453042198
382	0.3452044958
383	0.3451623281
384	0.3451085498
385	0.3449952373
386	0.3449284074
387	0.3448162599
388	0.3446636903
389	0.3445332847
390	0.3444037687
391	0.3442822225
392	0.344182852
393	0.343976062
394	0.3439148508
395	0.3438292687
396	0.3437222807
397	0.3436682115
398	0.343556627
399	0.343471177
400	0.3433362731
401	0.343226613
402	0.3431988258
403	0.3431338029
404	0.3430339493
405	0.3429366676
406	0.3427556658
407	0.3426596061
408	0.3426015172
409	0.3424959364
410	0.3424554952
411	0.3423499612
412	0.3422516373
413	0.342137688
414	0.3419903841
415	0.3418825602
416	0.3418421035
417	0.3417389839
418	0.3417003512
419	0.3416799591
420	0.3414893947
421	0.3413872581
422	0.3412494187
423	0.3411451988
424	0.3410732417
425	0.3409756797
426	0.3408925764
427	0.3408381479
428	0.3407445356
429	0.3406663796
430	0.3406611159
431	0.340562857
432	0.340477486
433	0.3403004494
434	0.3402244232
435	0.3401366234
436	0.3400396978
437	0.339977286
438	0.3398574833
439	0.339824187
440	0.3397541286
441	0.3396338163
442	0.3394950584
443	0.3394657015
444	0.3393928987
445	0.3392987845
446	0.3392837077
447	0.3391467412
448	0.3391009586
449	0.3390208752
450	0.3389320246
451	0.3388294156
452	0.3387496232
453	0.3386493221
454	0.338511972
455	0.3384202502
456	0.3383617204
457	0.3382371334
458	0.3381916652
459	0.3380894923
460	0.3379856398
461	0.3378387166
462	0.3377047404
463	0.3376069981
464	0.3374889233
465	0.3373667155
466	0.3373148626
467	0.337213132
468	0.3371688586
469	0.3371030425
470	0.337027468
471	0.3370156526
472	0.3369322887
473	0.3368078334
474	0.3367471965
475	0.3367080465
476	0.3366555032
477	0.3366162436
478	0.3365732559
479	0.3364848835
480	0.3364552795
481	0.3362878591
482	0.336240349
483	0.3361930974
484	0.336141206
485	0.3360778759
486	0.3359952403
487	0.3359422996
488	0.3358902481
489	0.3357808867
490	0.3356216479
491	0.3355856809
492	0.3355301746
493	0.3354655618
494	0.3353868975
495	0.3353119171
496	0.3352267243
497	0.3351264451
498	0.3350865196
499	0.3349572144
500	0.3349214537
501	0.3348485741
502	0.3347456952
503	0.3346726012
504	0.3346189301
505	0.3345212267
506	0.3344278927
507	0.3343134615
508	0.3342684593
509	0.3342293561
510	0.3341520682
511	0.3340900186
512	0.3340053816
513	0.333960496
514	0.3338586927
515	0.333748789
516	0.3336288178
517	0.3335713667
518	0.3335354162
519	0.3334933801
520	0.3334309097
521	0.3333539111
522	0.3333378607
523	0.3332345408
524	0.3331648244
525	0.3330979399
526	0.3330447848
527	0.3330066715
528	0.332952316
529	0.3329069113
530	0.3327921382
531	0.3327506992
532	0.3326727947
533	0.3326141479
534	0.3325711697
535	0.3324840622
536	0.332352899
537	0.33223525
538	0.3321978777
539	0.3320609329
540	0.3320215105
541	0.3319690339
542	0.331918233
543	0.3318487846
544	0.3317918614
545	0.3317593554
546	0.3317111257
547	0.3316429676
548	0.3315897459
549	0.331533982
550	0.3314762426
551	0.331432014
552	0.3313858415
553	0.3313132911
554	0.3312787539
555	0.3312322
556	0.3311729347
557	0.3311457759
558	0.3310628395
559	0.331024135
560	0.3309787786
561	0.3308597692
562	0.3307991608
563	0.3307490848
564	0.3307121696
565	0.3306910812
566	0.3306403741
567	0.3305521575
568	0.3304093464
569	0.3303073372
570	0.3302662342
571	0.3301967124
572	0.3301549718
573	0.3300986737
574	0.3300571251
575	0.3299572921
576	0.3299041999
577	0.329832871
578	0.3297124565
579	0.3296529428
580	0.3296149915
581	0.3295949101
582	0.329536194
583	0.3295112882
584	0.329459235
585	0.329438775
586	0.3292884764
587	0.3292669687
588	0.3291935097
589	0.3291434276
590	0.3291037699
591	0.3290630927
592	0.3290391487
593	0.3289687329
594	0.3288710687
595	0.3288349943
596	0.3287593962
597	0.3287299507
598	0.3287040387
599	0.3286621645
600	0.3285593729
601	0.3284573428
602	0.328416116
603	0.3283858739
604	0.3283074406
605	0.3282569551
606	0.3281998324
607	0.3281361106
608	0.3280565392
609	0.327977813
610	0.3279411018
611	0.3279201435
612	0.3278310492
613	0.3277835301
614	0.3276923947
615	0.3276554381
616	0.327612446
617	0.3275530886
618	0.32747367
619	0.3274464074
620	0.3273392541
621	0.3272729567
622	0.3272447901
623	0.3271722297
624	0.3271135667
625	0.3270270378
626	0.326970967
627	0.3269053815
628	0.3268215615
629	0.3267400616
630	0.3266352138
631	0.3265448979
632	0.3265164095
633	0.326493168
634	0.326454262
635	0.3263804792
636	0.3263016889
637	0.3262428651
638	0.3261301255
639	0.326096182
640	0.3260406652
641	0.3259985779
642	0.3258677695
643	0.3258239729
644	0.3257881388
645	0.3257343075
646	0.3256793416
647	0.3256544716
648	0.3256346223
649	0.3255305235
650	0.3254299131
651	0.3254031422
652	0.3253222585
653	0.325226961
654	0.3251097384
655	0.3249380925
656	0.3249170574
657	0.3248805747
658	0.3248211572
659	0.3247875555
660	0.324738429
661	0.324679033
662	0.3246326478
663	0.3245306252
664	0.3245133843
665	0.3244906666
666	0.3244834361
667	0.3244527166
668	0.3244295943
669	0.3243698583
670	0.3241882588
671	0.3241578233
672	0.3241004719
673	0.3240409705
674	0.3239798095
675	0.3239482082
676	0.3238568367
677	0.3238056479
678	0.323765248
679	0.3236830713
680	0.3236453509
681	0.3235569498
682	0.3234918853
683	0.3234244436
684	0.323366965
685	0.323305476
686	0.3232849496
687	0.3232388026
688	0.3231942639
689	0.3231786026
690	0.3231083125
691	0.3230166342
692	0.3229231362
693	0.3228743005
694	0.3228498293
695	0.3228368921
696	0.3228101556
697	0.3227798816
698	0.3227527402
699	0.3227321463
700	0.3226814051
701	0.3226094074
702	0.3225754876
703	0.3224380977
704	0.3223930809
705	0.3223591018
706	0.3223121653
707	0.3222611833
708	0.3222469772
709	0.3221700757
710	0.3221074373
711	0.3220307939
712	0.3219456554
713	0.3219207418
714	0.3218728509
715	0.3218348428
716	0.3218231256
717	0.3217453583
718	0.3216686111
719	0.3215857353
720	0.3215534105
721	0.3215366197
722	0.321495521
723	0.3214616454
724	0.3214347005
725	0.3213433059
726	0.321338133
727	0.3212399653
728	0.3212174812
729	0.3211972963
730	0.3211587529
731	0.3211172569
732	0.3210524526
733	0.321029067
734	0.3210231131
735	0.3209875655
736	0.320924084
737	0.3208955431
738	0.3208600092
739	0.3207907365
740	0.3207792094
741	0.3207228042
742	0.3206376305
743	0.3206098245
744	0.3205386652
745	0.3205242772
746	0.3204708411
747	0.3203885715
748	0.3202862457
749	0.3202675241
750	0.3202146035
751	0.3201478936
752	0.3201006564
753	0.3200331666
754	0.3199801754
755	0.3199155744
756	0.3198356683
757	0.3197424092
758	0.3196945671
759	0.3196202526
760	0.3195814793
761	0.3195550553
762	0.3195147432
763	0.3194888914
764	0.3193914253
765	0.3193614521
766	0.3193503512
767	0.319339168
768	0.3192318483
769	0.319140509
770	0.3190995089
771	0.3190211738
772	0.3189511247
773	0.3188333294
774	0.318821291
775	0.3187304768
776	0.3186906741
777	0.3186374768
778	0.3185764347
779	0.3184720425
780	0.3184251368
781	0.3183331161
782	0.3182419147
783	0.3182126145
784	0.318168938
785	0.3181500837
786	0.3181217517
787	0.3180816372
788	0.3180478811
789	0.3180430298
790	0.3179907051
791	0.3179481365
792	0.3179284052
793	0.3178517766
794	0.3178090665
795	0.3177760172
796	0.3177038932
797	0.31766621
798	0.3176123823
799	0.3175786279
800	0.3175096948
801	0.3174898902
802	0.317441394
803	0.3174120595
804	0.3174013189
805	0.3173763953
806	0.3173444526
807	0.3172854023
808	0.3172477906
809	0.3171554986
810	0.3171517405
811	0.3171431037
812	0.3170992143
813	0.3170537595
814	0.3169655808
815	0.3169514594
816	0.3169340222
817	0.3169259349
818	0.3168615571
819	0.3168227878
820	0.3167675034
821	0.3167334834
822	0.3167134492
823	0.316704058
824	0.31666418
825	0.31655379
826	0.3165398834
827	0.3164740117
828	0.3163741364
829	0.3162794341
830	0.3162679953
831	0.3162413594
832	0.3161734708
833	0.3161425883
834	0.3160769366
835	0.316036577
836	0.3160036483
837	0.3159315589
838	0.3158340171
839	0.3157784824
840	0.3157025788
841	0.31567099
842	0.315616405
843	0.3156040528
844	0.3155660277
845	0.3154925362
846	0.3154617614
847	0.3154086829
848	0.3153565668
849	0.3153499015
850	0.3153178057
851	0.3152331006
852	0.3151589079
853	0.3151354303
854	0.3150710379
855	0.3150618273
856	0.3149991731
857	0.3149366138
858	0.3149092076
859	0.3148516548
860	0.3147396704
861	0.3147288232
862	0.3147000387
863	0.3146575256
864	0.3146358596
865	0.3146027786
866	0.3145765823
867	0.3145410092
868	0.3144833782
869	0.3144141364
870	0.3143841437
871	0.3143496044
872	0.3142690788
873	0.3142006839
874	0.3141500892
875	0.3140504306
876	0.3139918804
877	0.3139226337
878	0.313877072
879	0.313793628
880	0.3137627517
881	0.3137500645
882	0.3137115983
883	0.3136842075
884	0.3135796942
885	0.3135549053
886	0.3134745981
887	0.3134578502
888	0.3134162763
889	0.3133968065
890	0.3133665624
891	0.3132979493
892	0.3132568709
893	0.3131926282
894	0.3131637136
895	0.3130849343
896	0.31306844
897	0.3130150808
898	0.3129608457
899	0.3129127392
900	0.3128585632
901	0.3128285541
902	0.3128154685
903	0.3127467792
904	0.3126997944
905	0.312681252
906	0.3126543923
907	0.3126460128
908	0.3125739127
909	0.3125699058
910	0.3125257525
911	0.3124790477
912	0.3124669678
913	0.3124527425
914	0.3124376229
915	0.312428511
916	0.3124138151
917	0.312390447
918	0.3123174098
919	0.3122837686
920	0.3122046977
921	0.3121268655
922	0.3120877475
923	0.3120098599
924	0.311995222
925	0.3119532035
926	0.3118859426
927	0.3118564342
928	0.3118332368
929	0.3117609658
930	0.3117060912
931	0.3116853258
932	0.3116779645
933	0.3116762304
934	0.3116281567
935	0.3115432574
936	0.3115164214
937	0.3114849784
938	0.3114420119
939	0.3113855184
940	0.3113510768
941	0.311344126
942	0.3113119906
943	0.3112725364
944	0.3112266848
945	0.3112153808
946	0.3112092792
947	0.3111631421
948	0.311148194
949	0.3111005156
950	0.311059832
951	0.3110213231
952	0.310955111
953	0.3109095798
954	0.3108815958
955	0.3108275103
956	0.3107347108
957	0.3106862327
958	0.3106362127
959	0.3105922331
960	0.3105381139
961	0.3105233639
962	0.3104707075
963	0.3104590534
964	0.3104238057
965	0.3103666378
966	0.3103565498
967	0.3103165904
968	0.3102832849
969	0.3102495436
970	0.3101922901
971	0.3101370138
972	0.3101094259
973	0.3100978004
974	0.3100336533
975	0.3099928894
976	0.3099650615
977	0.3098830137
978	0.3098577951
979	0.3098373788
980	0.3097554266
981	0.3097324599
982	0.3096932789
983	0.3096488234
984	0.3096338672
985	0.3096152868
986	0.3095444169
987	0.3095144088
988	0.3094579154
989	0.309435821
990	0.3093818722
991	0.3093477455
992	0.3093192072
993	0.3093011573
994	0.309257868
995	0.3091922951
996	0.3091344983
997	0.3091122492
998	0.3090058638
999	0.3088949136
